serv,p,cover,method,num_unique_subareas,num_total_subareas
mat,26,null,EXACT_CPMP,13,18
mat,30,null,EXACT_CPMP,13,18
mat,33,null,EXACT_CPMP,13,18
mat,37,null,EXACT_CPMP,15,18
mat,41,null,EXACT_CPMP,15,18
mat,44,null,EXACT_CPMP,15,18
mat,48,null,EXACT_CPMP,15,18
mat,26,arrond,EXACT_CPMP,18,18
mat,30,arrond,EXACT_CPMP,18,18
mat,33,arrond,EXACT_CPMP,18,18
mat,37,arrond,EXACT_CPMP,18,18
mat,41,arrond,EXACT_CPMP,18,18
mat,44,arrond,EXACT_CPMP,18,18
mat,48,arrond,EXACT_CPMP,18,18
serv,p,cover,method,num_unique_subareas,num_total_subareas
urgenc,42,null,EXACT_CPMP,15,18
urgenc,48,null,EXACT_CPMP,16,18
urgenc,54,null,EXACT_CPMP,15,18
urgenc,60,null,EXACT_CPMP,16,18
urgenc,66,null,EXACT_CPMP,17,18
urgenc,72,null,EXACT_CPMP,16,18
urgenc,78,null,EXACT_CPMP,17,18
urgenc,42,arrond,EXACT_CPMP,18,18
urgenc,48,arrond,EXACT_CPMP,18,18
urgenc,54,arrond,EXACT_CPMP,18,18
urgenc,60,arrond,EXACT_CPMP,18,18
urgenc,66,arrond,EXACT_CPMP,18,18
urgenc,72,arrond,EXACT_CPMP,18,18
urgenc,78,arrond,EXACT_CPMP,18,18
urgenc,42,epci,EXACT_CPMP,38,51
urgenc,48,epci,EXACT_CPMP,44,51
urgenc,54,epci,EXACT_CPMP,51,51
urgenc,60,epci,EXACT_CPMP,51,51
urgenc,66,epci,EXACT_CPMP,51,51
urgenc,72,epci,EXACT_CPMP,51,51
urgenc,78,epci,EXACT_CPMP,51,51
