instance;N=C;p;Blb;solution;gap;time;Method;
SJC1;100;10;17288,99;17288,99;0;6,08;Mario_Stef_21;
SJC2;200;15;33270,94;33270,94;0;11,34;Mario_Stef_21;
SJC3a;300;25;45335,16;45335,16;0;28,21;Mario_Stef_21;
SJC3b;300;30;40635,9;40635,9;0;14,84;Mario_Stef_21;
SJC4a;402;30;61925,51;61925,51;0;42,71;Mario_Stef_21;
SJC4b;402;40;52458,02;52458,02;0;24,18;Mario_Stef_21;
p3038_600;3,038;600;122711,17;126392,5051;0,03;limit;Mario_Stef_21;
p3038_700;3,038;700;109677,3;112967,619;0,03;limit;Mario_Stef_21;
p3038_800;3,038;800;100064,94;103066,8882;0,03;limit;Mario_Stef_21;
p3038_900;3,038;900;92310,09;96925,5945;0,05;2,608,49;Mario_Stef_21;
p3038_1000;3,038;1000;85854,05;90146,7525;0,05;1,010,10;Mario_Stef_21;
fnl4461_0020;4,461;20;1283536,73;1848292,8912;0,44;1,193,97;Mario_Stef_21;
fnl4461_0100;4,461;100;548909,01;1718085,2013;2,13;limit;Mario_Stef_21;
fnl4461_0250;4,461;250;335888,87;678495,5174;1,02;limit;Mario_Stef_21;
fnl4461_0500;4,461;500;224662,49;276334,8627;0,23;limit;Mario_Stef_21;
fnl4461_1000;4,461;1000;145862,38;150238,2514;0,03;limit;Mario_Stef_21;
SJC1;100;10;17288,99;17288,99;0;3,94;Mario_21;
SJC2;200;15;33270,94;33270,94;0;4,78;Mario_21;
SJC3a;300;25;45335,16;45335,16;0;30,57;Mario_21;
SJC3b;300;30;40635,9;40635,9;0;31,04;Mario_21;
SJC4a;402;30;61925,51;71214,3365;0,15;59,52;Mario_21;
SJC4b;402;40;52458,02;61375,8834;0,17;32,87;Mario_21;
p3038_600;3,038;600;122711,17;127619,6168;0,04;limit;Mario_21;
p3038_700;3,038;700;109677,3;114064,392;0,04;limit;Mario_21;
p3038_800;3,038;800;100064,94;103066,8882;0,03;limit;Mario_21;
p3038_900;3,038;900;92310,09;94156,2918;0,02;limit;Mario_21;
p3038_1000;3,038;1000;85854,05;89288,212;0,04;limit;Mario_21;
fnl4461_0020;4,461;20;1283536,73;1642927,0144;0,28;limit;Mario_21;
fnl4461_0100;4,461;100;548909,01;850808,9655;0,55;limit;Mario_21;
fnl4461_0250;4,461;250;335888,87;490397,7502;0,46;limit;Mario_21;
fnl4461_0500;4,461;500;224662,49;312280,8611;0,39;limit;Mario_21;
fnl4461_1000;4,461;1000;145862,38;160448,618;0,1;limit;Mario_21;
